Time (Sec),Analog Input 0,Analog Input 1
0.0,4.94,4.46
0.001,4.94,4.46
0.002,4.93,4.46
0.003,4.95,4.46
0.004,4.93,4.46
0.005,4.94,4.46
0.006,4.94,4.46
0.007,4.94,4.46
0.008,4.94,4.46
0.009,4.94,4.46
0.01,4.94,4.46
0.011,4.93,4.46
0.012,4.95,4.46
0.013,4.93,4.45
0.014,4.93,4.46
0.015,4.94,4.46
0.016,4.95,4.47
0.017,4.94,4.47
0.018,4.95,4.47
0.019,4.94,4.46
0.02,4.94,4.47
0.021,4.93,4.46
0.022,4.94,4.47
0.023,4.94,4.48
0.024,4.96,4.32
0.025,4.8,4.1
0.026,4.67,3.92
0.027,4.52,3.77
0.028,4.4,3.64
0.029,4.26,3.52
0.03,3.15,2.4
0.031,3.14,2.39
0.032,3.15,2.39
0.033,3.15,2.39
0.034,3.17,2.4
0.035,3.19,2.41
0.036,3.21,2.42
0.037,3.24,2.43
0.038,3.25,2.43
0.039,3.26,2.43
0.04,3.26,2.43
0.041,3.25,2.41
0.042,3.24,2.39
0.043,3.2,2.37
0.044,3.18,2.35
0.045,3.15,2.32
0.046,3.13,2.31
0.047,3.13,2.3
0.048,3.13,2.31
0.049,3.14,2.31
0.05,3.15,2.32
0.051,3.18,2.34
0.052,3.21,2.36
0.053,3.24,2.38
0.054,3.27,2.39
0.055,3.28,2.39
0.056,3.29,2.4
0.057,3.29,2.39
0.058,3.28,2.37
0.059,3.26,2.36
0.06,3.31,2.35
0.061,3.31,2.35
0.062,3.28,2.32
0.063,3.26,2.31
0.064,3.66,3.16
0.065,4.72,3.96
0.066,4.89,4.24
0.067,4.92,4.32
0.068,4.93,4.37
0.069,4.93,4.4
0.07,4.94,4.41
0.071,4.94,4.42
0.072,4.93,4.44
0.073,4.94,4.44
0.074,4.94,4.45
0.075,4.94,4.44
0.076,4.94,4.46
0.077,4.94,4.45
0.078,4.94,4.45
0.079,4.94,4.46
0.08,4.94,4.45
0.081,4.94,4.46
0.082,4.94,4.45
0.083,4.94,4.46
0.084,4.94,4.45
0.085,4.94,4.47
0.086,4.96,4.46
0.087,4.92,4.45
0.088,4.96,4.48
0.089,4.95,4.46
0.09,4.94,4.46
0.091,4.96,4.48
0.092,4.95,4.46
0.093,4.94,4.46
0.094,4.86,4.16
0.095,4.71,3.98
0.096,4.59,3.83
0.097,4.46,3.7
0.098,4.33,3.58
0.099,4.21,3.47
0.1,4.09,3.36
0.101,3.98,3.26
0.102,3.87,3.18
0.103,3.78,3.1
0.104,3.7,3.04
0.105,3.63,2.97
0.106,3.57,2.93
0.107,3.54,2.88
0.108,3.51,2.86
0.109,3.49,2.83
0.11,3.47,2.8
0.111,3.46,2.78
0.112,3.44,2.76
0.113,3.42,2.73
0.114,3.4,2.7
0.115,3.36,2.66
0.116,3.32,2.63
0.117,3.28,2.58
0.118,3.25,2.56
0.119,3.22,2.52
0.12,3.2,2.34
0.121,3.17,2.31
0.122,3.15,2.45
0.123,4.31,3.6
0.124,4.82,4.14
0.125,4.9,4.29
0.126,4.93,4.35
0.127,4.93,4.39
0.128,4.94,4.41
0.129,4.94,4.42
0.13,4.94,4.43
0.131,4.94,4.44
0.132,4.94,4.44
0.133,4.94,4.45
0.134,4.94,4.45
0.135,4.94,4.45
0.136,4.94,4.46
0.137,4.94,4.45
0.138,4.94,4.46
0.139,4.94,4.46
0.14,4.94,4.46
0.141,4.94,4.45
0.142,4.94,4.46
0.143,4.94,4.46
0.144,4.94,4.46
0.145,4.94,4.46
0.146,4.94,4.46
0.147,4.94,4.45
0.148,4.94,4.47
0.149,4.94,4.45
0.15,3.88,3.18
0.151,3.82,3.13
0.152,3.76,3.06
0.153,3.7,3.01
0.154,3.65,2.96
0.155,3.59,2.9
0.156,3.53,2.84
0.157,3.46,2.79
0.158,3.41,2.74
0.159,3.36,2.7
0.16,3.32,2.67
0.161,3.29,2.64
0.162,3.28,2.62
0.163,3.27,2.6
0.164,3.28,2.6
0.165,3.29,2.6
0.166,3.31,2.6
0.167,3.32,2.6
0.168,3.33,2.6
0.169,3.33,2.58
0.17,3.32,2.57
0.171,3.31,2.55
0.172,3.28,2.52
0.173,3.26,2.49
0.174,3.22,2.47
0.175,3.19,2.43
0.176,3.16,2.42
0.177,3.15,2.4
0.178,3.14,2.39
0.179,3.15,2.39
0.18,3.15,2.27
0.181,3.14,2.27
0.182,3.15,2.27
0.183,3.16,2.28
0.184,3.18,2.3
0.185,3.2,2.31
0.186,3.23,2.33
0.187,3.25,2.34
0.188,3.27,2.36
0.189,3.29,2.36
0.19,3.28,2.36
0.191,3.28,2.35
0.192,3.26,2.33
0.193,3.23,2.3
0.194,3.2,2.28
0.195,3.17,2.26
0.196,3.16,2.28
0.197,4.08,3.42
0.198,4.79,4.08
0.199,4.9,4.26
0.2,4.91,4.34
0.201,4.94,4.38
0.202,4.93,4.4
0.203,4.94,4.42
0.204,4.94,4.43
0.205,4.94,4.43
0.206,4.94,4.45
0.207,4.94,4.45
0.208,4.94,4.45
0.209,4.95,4.45
0.21,4.94,4.46
0.211,4.94,4.46
0.212,4.94,4.46
0.213,4.94,4.27
0.214,4.78,4.07
0.215,4.65,3.88
0.216,4.5,3.74
0.217,4.37,3.61
0.218,4.24,3.5
0.219,4.13,3.39
0.22,4.03,3.3
0.221,3.94,3.23
0.222,3.86,3.16
0.223,3.8,3.1
0.224,3.74,3.05
0.225,3.7,3.0
0.226,3.65,2.96
0.227,3.6,2.9
0.228,3.55,2.86
0.229,3.5,2.8
0.23,3.44,2.75
0.231,3.39,2.7
0.232,3.34,2.66
0.233,3.31,2.63
0.234,3.27,2.6
0.235,3.26,2.58
0.236,3.25,2.56
0.237,3.26,2.56
0.238,3.28,2.56
0.239,3.29,2.56
0.24,3.18,2.31
0.241,3.19,2.32
0.242,3.22,2.34
0.243,3.25,2.35
0.244,3.27,2.37
0.245,3.29,2.38
0.246,3.3,2.38
0.247,3.31,2.37
0.248,3.28,2.36
0.249,3.27,2.34
0.25,3.23,2.31
0.251,3.2,2.29
0.252,3.18,2.27
0.253,3.16,2.26
0.254,3.15,2.25
0.255,3.15,2.25
0.256,3.16,2.26
0.257,3.18,2.27
0.258,3.2,2.29
0.259,3.23,2.3
0.26,3.26,2.32
0.261,3.28,2.34
0.262,3.29,2.34
0.263,3.29,2.34
0.264,3.3,2.34
0.265,3.27,2.31
0.266,3.25,2.29
0.267,3.22,2.28
0.268,3.54,3.08
0.269,4.68,3.92
0.27,4.94,4.45
0.271,4.94,4.45
0.272,4.94,4.45
0.273,4.94,4.45
0.274,4.94,4.45
0.275,4.94,4.45
0.276,4.94,4.45
0.277,4.94,4.46
0.278,4.94,4.44
0.279,4.93,4.46
0.28,4.95,4.45
0.281,4.94,4.45
0.282,4.94,4.45
0.283,4.94,4.45
0.284,4.94,4.45
0.285,4.93,4.45
0.286,4.89,4.2
0.287,4.74,3.99
0.288,4.6,3.83
0.289,4.46,3.69
0.29,4.33,3.57
0.291,4.2,3.45
0.292,4.09,3.36
0.293,3.99,3.27
0.294,3.91,3.19
0.295,3.83,3.13
0.296,3.78,3.07
0.297,3.72,3.02
0.298,3.69,2.98
0.299,3.64,2.93
0.3,3.25,2.41
0.301,3.27,2.42
0.302,3.29,2.42
0.303,3.29,2.42
0.304,3.29,2.41
0.305,3.27,2.39
0.306,3.25,2.37
0.307,3.21,2.35
0.308,3.19,2.32
0.309,3.16,2.3
0.31,3.15,2.3
0.311,3.15,2.29
0.312,3.15,2.3
0.313,3.17,2.31
0.314,3.2,2.33
0.315,3.22,2.34
0.316,3.26,2.36
0.317,3.28,2.37
0.318,3.3,2.39
0.319,3.31,2.39
0.32,3.31,2.39
0.321,3.31,2.38
0.322,3.29,2.36
0.323,3.26,2.33
0.324,3.23,2.31
0.325,3.2,2.29
0.326,3.18,2.28
0.327,3.17,2.26
0.328,3.17,2.26
0.329,3.18,2.27
0.33,4.94,4.44
0.331,4.94,4.44
0.332,4.94,4.44
0.333,4.93,4.44
0.334,4.94,4.44
0.335,4.93,4.44
0.336,4.94,4.44
0.337,4.94,4.44
0.338,4.93,4.45
0.339,4.94,4.45
0.34,4.94,4.45
0.341,4.94,4.45
0.342,4.94,4.44
0.343,4.93,4.45
0.344,4.96,4.45
0.345,4.94,4.44
0.346,4.94,4.45
0.347,4.94,4.45
0.348,4.94,4.45
0.349,4.94,4.45
0.35,4.93,4.45
0.351,4.95,4.45
0.352,4.94,4.44
0.353,4.94,4.45
0.354,4.94,4.44
0.355,4.94,4.45
0.356,4.94,4.44
0.357,4.94,4.45
0.358,4.93,4.45
0.359,4.94,4.31
0.36,3.34,2.54
0.361,3.32,2.52
0.362,3.3,2.5
0.363,3.28,2.47
0.364,3.24,2.44
0.365,3.21,2.41
0.366,3.19,2.4
0.367,3.17,2.38
0.368,3.17,2.38
0.369,3.17,2.37
0.37,3.18,2.38
0.371,3.2,2.39
0.372,3.22,2.4
0.373,3.25,2.41
0.374,3.27,2.43
0.375,3.29,2.43
0.376,3.29,2.43
0.377,3.3,2.42
0.378,3.28,2.41
0.379,3.27,2.39
0.38,3.23,2.36
0.381,3.2,2.34
0.382,3.18,2.32
0.383,3.16,2.3
0.384,3.16,2.3
0.385,3.16,2.3
0.386,3.17,2.3
0.387,3.19,2.32
0.388,3.22,2.34
0.389,3.25,2.36
0.39,4.9,4.31
0.391,4.93,4.35
0.392,4.92,4.38
0.393,4.93,4.39
0.394,4.93,4.4
0.395,4.93,4.41
0.396,4.93,4.42
0.397,4.94,4.42
0.398,4.93,4.42
0.399,4.94,4.43
0.4,4.93,4.43
0.401,4.93,4.44
0.402,4.94,4.44
0.403,4.93,4.44
0.404,4.94,4.44
0.405,4.94,4.43
0.406,4.93,4.45
0.407,4.94,4.43
0.408,4.94,4.44
0.409,4.94,4.44
0.41,4.94,4.44
0.411,4.94,4.45
0.412,4.94,4.44
0.413,4.94,4.45
0.414,4.94,4.45
0.415,4.94,4.45
0.416,4.94,4.45
0.417,4.94,4.45
0.418,4.94,4.45
0.419,4.94,4.45
0.42,3.45,2.74
0.421,3.4,2.69
0.422,3.35,2.65
0.423,3.31,2.62
0.424,3.29,2.59
0.425,3.27,2.57
0.426,3.26,2.56
0.427,3.27,2.56
0.428,3.28,2.56
0.429,3.3,2.56
0.43,3.32,2.56
0.431,3.33,2.57
0.432,3.34,2.56
0.433,3.34,2.55
0.434,3.33,2.53
0.435,3.31,2.51
0.436,3.29,2.48
0.437,3.25,2.45
0.438,3.22,2.43
0.439,3.2,2.4
0.44,3.17,2.39
0.441,3.17,2.38
0.442,3.16,2.37
0.443,3.18,2.38
0.444,3.2,2.39
0.445,3.22,2.4
0.446,3.24,2.41
0.447,3.27,2.42
0.448,3.29,2.43
0.449,3.3,2.43
0.45,3.27,2.34
0.451,3.3,2.36
0.452,3.31,2.36
0.453,3.32,2.36
0.454,3.31,2.35
0.455,3.3,2.34
0.456,3.27,2.31
0.457,3.24,2.29
0.458,3.21,2.28
0.459,3.92,3.3
0.46,4.75,4.01
0.461,4.89,4.23
0.462,4.91,4.31
0.463,4.92,4.35
0.464,4.94,4.38
0.465,4.93,4.39
0.466,4.94,4.42
0.467,4.93,4.41
0.468,4.93,4.42
0.469,4.93,4.43
0.47,4.94,4.43
0.471,4.93,4.42
0.472,4.94,4.45
0.473,4.94,4.43
0.474,4.93,4.44
0.475,4.94,4.44
0.476,4.94,4.44
0.477,4.94,4.44
0.478,4.93,4.44
0.479,4.94,4.45
0.48,4.21,3.46
0.481,4.1,3.36
0.482,3.99,3.27
0.483,3.91,3.2
0.484,3.83,3.13
0.485,3.76,3.07
0.486,3.71,3.02
0.487,3.68,2.98
0.488,3.64,2.94
0.489,3.6,2.9
0.49,3.57,2.86
0.491,3.53,2.82
0.492,3.48,2.77
0.493,3.43,2.72
0.494,3.38,2.67
0.495,3.33,2.63
0.496,3.3,2.6
0.497,3.27,2.57
0.498,3.25,2.56
0.499,3.25,2.54
0.5,3.24,2.54
0.501,3.27,2.54
0.502,3.28,2.55
0.503,3.3,2.55
0.504,3.32,2.55
0.505,3.33,2.55
0.506,3.33,2.55
0.507,3.33,2.53
0.508,3.31,2.51
0.509,3.29,2.49
0.51,3.32,2.39
0.511,3.31,2.38
0.512,3.29,2.36
0.513,3.27,2.34
0.514,3.23,2.31
0.515,3.21,2.29
0.516,3.18,2.28
0.517,3.17,2.27
0.518,3.17,2.27
0.519,3.18,2.27
0.52,3.19,2.28
0.521,3.21,2.29
0.522,3.24,2.31
0.523,3.26,2.33
0.524,3.28,2.35
0.525,3.3,2.35
0.526,3.31,2.36
0.527,3.31,2.35
0.528,3.3,2.34
0.529,3.28,2.32
0.53,3.25,2.29
0.531,3.22,2.27
0.532,3.19,2.25
0.533,3.19,2.43
0.534,4.34,3.58
0.535,4.82,4.11
0.536,4.9,4.26
0.537,4.91,4.34
0.538,4.93,4.36
0.539,4.92,4.38
0.54,4.94,4.45
0.541,4.94,4.44
0.542,4.93,4.46
0.543,4.95,4.45
0.544,4.94,4.45
0.545,4.94,4.45
0.546,4.94,4.45
0.547,4.94,4.45
0.548,4.88,4.2
0.549,4.74,4.0
0.55,4.6,3.84
0.551,4.47,3.7
0.552,4.33,3.57
0.553,4.21,3.45
0.554,4.09,3.35
0.555,3.99,3.26
0.556,3.9,3.19
0.557,3.82,3.11
0.558,3.76,3.06
0.559,3.71,3.01
0.56,3.66,2.97
0.561,3.62,2.93
0.562,3.59,2.89
0.563,3.56,2.85
0.564,3.52,2.81
0.565,3.48,2.77
0.566,3.43,2.72
0.567,3.38,2.67
0.568,3.33,2.63
0.569,3.3,2.59
0.57,3.22,2.35
0.571,3.19,2.32
0.572,3.16,2.3
0.573,3.15,2.29
0.574,3.15,2.28
0.575,3.15,2.29
0.576,3.16,2.29
0.577,3.17,2.31
0.578,3.21,2.32
0.579,3.24,2.34
0.58,3.26,2.36
0.581,3.29,2.37
0.582,3.3,2.38
0.583,3.31,2.38
0.584,3.31,2.37
0.585,3.29,2.36
0.586,3.27,2.34
0.587,3.24,2.31
0.588,3.21,2.29
0.589,3.18,2.27
0.59,3.17,2.26
0.591,3.16,2.26
0.592,3.17,2.26
0.593,3.18,2.26
0.594,3.2,2.28
0.595,3.22,2.31
0.596,3.24,2.31
0.597,3.27,2.32
0.598,3.29,2.34
0.599,3.3,2.34
0.6,4.94,4.44
0.601,4.93,4.43
0.602,4.93,4.44
0.603,4.95,4.45
0.604,4.93,4.44
0.605,4.94,4.43
0.606,4.92,4.45
0.607,4.95,4.45
0.608,4.93,4.44
0.609,4.93,4.44
0.61,4.93,4.44
0.611,4.93,4.44
0.612,4.93,4.44
0.613,4.94,4.42
0.614,4.92,4.45
0.615,4.95,4.44
0.616,4.94,4.45
0.617,4.94,4.44
0.618,4.93,4.44
0.619,4.94,4.44
0.62,4.93,4.45
0.621,4.93,4.24
0.622,4.77,4.04
0.623,4.63,3.87
0.624,4.49,3.72
0.625,4.36,3.59
0.626,4.23,3.47
0.627,4.11,3.36
0.628,4.01,3.28
0.629,3.91,3.19
0.63,3.16,2.35
0.631,3.15,2.35
0.632,3.15,2.34
0.633,3.16,2.34
0.634,3.17,2.35
0.635,3.19,2.36
0.636,3.22,2.37
0.637,3.24,2.38
0.638,3.27,2.39
0.639,3.28,2.39
0.64,3.28,2.39
0.641,3.27,2.37
0.642,3.25,2.36
0.643,3.23,2.34
0.644,3.19,2.31
0.645,3.17,2.28
0.646,3.15,2.28
0.647,3.14,2.26
0.648,3.14,2.26
0.649,3.15,2.26
0.65,3.16,2.28
0.651,3.19,2.29
0.652,3.22,2.31
0.653,3.25,2.33
0.654,3.28,2.35
0.655,3.3,2.36
0.656,3.3,2.35
0.657,3.31,2.35
0.658,3.29,2.34
0.659,3.28,2.32
0.66,4.92,4.41
0.661,4.93,4.42
0.662,4.93,4.42
0.663,4.94,4.42
0.664,4.93,4.42
0.665,4.93,4.42
0.666,4.94,4.43
0.667,4.93,4.42
0.668,4.93,4.42
0.669,4.93,4.42
0.67,4.93,4.43
0.671,4.93,4.42
0.672,4.93,4.44
0.673,4.94,4.43
0.674,4.93,4.43
0.675,4.93,4.43
0.676,4.93,4.43
0.677,4.94,4.43
0.678,4.92,4.44
0.679,4.94,4.43
0.68,4.93,4.43
0.681,4.93,4.43
0.682,4.93,4.43
0.683,4.93,4.43
0.684,4.93,4.43
0.685,4.93,4.43
0.686,4.93,4.43
0.687,4.93,4.44
0.688,4.94,4.43
0.689,4.93,4.43
0.69,3.27,2.55
0.691,3.29,2.55
0.692,3.29,2.55
0.693,3.31,2.55
0.694,3.32,2.54
0.695,3.34,2.55
0.696,3.34,2.54
0.697,3.33,2.52
0.698,3.32,2.5
0.699,3.3,2.48
0.7,3.26,2.45
0.701,3.23,2.42
0.702,3.2,2.38
0.703,3.17,2.38
0.704,3.16,2.36
0.705,3.16,2.35
0.706,3.17,2.35
0.707,3.18,2.35
0.708,3.2,2.37
0.709,3.22,2.38
0.71,3.24,2.39
0.711,3.26,2.4
0.712,3.28,2.4
0.713,3.29,2.4
0.714,3.28,2.39
0.715,3.26,2.37
0.716,3.24,2.35
0.717,3.22,2.32
0.718,3.19,2.3
0.719,3.16,2.28
0.72,3.24,2.26
0.721,3.22,2.24
0.722,3.19,2.22
0.723,3.19,2.48
0.724,4.39,3.6
0.725,4.82,4.1
0.726,4.89,4.24
0.727,4.91,4.32
0.728,4.92,4.35
0.729,4.92,4.37
0.73,4.93,4.38
0.731,4.93,4.4
0.732,4.93,4.4
0.733,4.93,4.41
0.734,4.94,4.41
0.735,4.93,4.42
0.736,4.94,4.43
0.737,4.94,4.42
0.738,4.93,4.42
0.739,4.93,4.42
0.74,4.93,4.42
0.741,4.93,4.42
0.742,4.93,4.42
0.743,4.93,4.42
0.744,4.94,4.43
0.745,4.93,4.42
0.746,4.93,4.43
0.747,4.93,4.43
0.748,4.93,4.43
0.749,4.93,4.43
0.75,3.78,3.06
0.751,3.74,3.02
0.752,3.69,2.96
0.753,3.64,2.92
0.754,3.6,2.87
0.755,3.55,2.82
0.756,3.5,2.77
0.757,3.44,2.71
0.758,3.39,2.67
0.759,3.34,2.63
0.76,3.31,2.59
0.761,3.28,2.57
0.762,3.28,2.55
0.763,3.27,2.53
0.764,3.28,2.54
0.765,3.29,2.53
0.766,3.3,2.54
0.767,3.33,2.54
0.768,3.34,2.55
0.769,3.35,2.53
0.77,3.34,2.52
0.771,3.33,2.51
0.772,3.31,2.48
0.773,3.28,2.45
0.774,3.24,2.42
0.775,3.22,2.39
0.776,3.19,2.38
0.777,3.17,2.36
0.778,3.17,2.35
0.779,3.17,2.35
0.78,3.18,2.24
0.781,3.17,2.24
0.782,3.18,2.24
0.783,3.19,2.25
0.784,3.2,2.26
0.785,3.23,2.28
0.786,3.25,2.29
0.787,3.28,2.31
0.788,3.3,2.32
0.789,3.32,2.33
0.79,3.32,2.33
0.791,3.31,2.32
0.792,3.29,2.3
0.793,3.27,2.28
0.794,3.24,2.26
0.795,3.21,2.24
0.796,3.19,2.24
0.797,3.72,3.15
0.798,4.7,3.93
0.799,4.88,4.19
0.8,4.89,4.28
0.801,4.92,4.34
0.802,4.93,4.36
0.803,4.92,4.38
0.804,4.93,4.39
0.805,4.93,4.4
0.806,4.93,4.4
0.807,4.93,4.41
0.808,4.93,4.41
0.809,4.93,4.41
0.81,4.93,4.43
0.811,4.93,4.43
0.812,4.9,4.21
0.813,4.75,4.0
0.814,4.61,3.84
0.815,4.47,3.69
0.816,4.34,3.57
0.817,4.21,3.45
0.818,4.1,3.34
0.819,4.0,3.26
0.82,3.91,3.18
0.821,3.83,3.11
0.822,3.78,3.06
0.823,3.72,3.01
0.824,3.68,2.96
0.825,3.65,2.92
0.826,3.61,2.89
0.827,3.57,2.83
0.828,3.52,2.8
0.829,3.48,2.75
0.83,3.43,2.7
0.831,3.38,2.66
0.832,3.33,2.61
0.833,3.3,2.58
0.834,3.27,2.55
0.835,3.26,2.54
0.836,3.26,2.53
0.837,3.26,2.53
0.838,3.28,2.53
0.839,3.3,2.53
0.84,3.18,2.3
0.841,3.21,2.32
0.842,3.24,2.34
0.843,3.27,2.35
0.844,3.29,2.36
0.845,3.31,2.37
0.846,3.32,2.38
0.847,3.32,2.37
0.848,3.31,2.36
0.849,3.3,2.34
0.85,3.27,2.32
0.851,3.24,2.29
0.852,3.21,2.27
0.853,3.19,2.26
0.854,3.18,2.25
0.855,3.18,2.25
0.856,3.19,2.26
0.857,3.2,2.27
0.858,3.22,2.28
0.859,3.25,2.3
0.86,3.27,2.32
0.861,3.3,2.34
0.862,3.31,2.34
0.863,3.32,2.34
0.864,3.32,2.34
0.865,3.3,2.32
0.866,3.28,2.31
0.867,3.26,2.28
0.868,3.22,2.25
0.869,3.2,2.24
0.87,4.93,4.43
0.871,4.93,4.43
0.872,4.94,4.43
0.873,4.93,4.43
0.874,4.93,4.43
0.875,4.93,4.43
0.876,4.93,4.44
0.877,4.93,4.44
0.878,4.94,4.44
0.879,4.93,4.44
0.88,4.93,4.43
0.881,4.93,4.44
0.882,4.94,4.43
0.883,4.93,4.44
0.884,4.93,4.44
0.885,4.93,4.43
0.886,4.93,4.31
0.887,4.8,4.06
0.888,4.65,3.89
0.889,4.52,3.74
0.89,4.38,3.6
0.891,4.26,3.49
0.892,4.14,3.39
0.893,4.03,3.29
0.894,3.95,3.22
0.895,3.87,3.15
0.896,3.81,3.1
0.897,3.76,3.03
0.898,3.7,2.99
0.899,3.67,2.94
0.9,3.26,2.4
0.901,3.29,2.41
0.902,3.3,2.42
0.903,3.31,2.42
0.904,3.3,2.41
0.905,3.29,2.39
0.906,3.27,2.37
0.907,3.23,2.35
0.908,3.21,2.32
0.909,3.18,2.3
0.91,3.17,2.29
0.911,3.16,2.29
0.912,3.17,2.29
0.913,3.18,2.3
0.914,3.21,2.32
0.915,3.23,2.33
0.916,3.27,2.35
0.917,3.29,2.36
0.918,3.31,2.38
0.919,3.33,2.38
0.92,3.33,2.38
0.921,3.33,2.37
0.922,3.31,2.36
0.923,3.29,2.34
0.924,3.25,2.31
0.925,3.22,2.29
0.926,3.2,2.27
0.927,3.19,2.26
0.928,3.18,2.26
0.929,3.19,2.26
0.93,4.93,4.43
0.931,4.94,4.42
0.932,4.93,4.42
0.933,4.93,4.42
0.934,4.94,4.43
0.935,4.93,4.42
0.936,4.93,4.43
0.937,4.93,4.42
0.938,4.93,4.43
0.939,4.94,4.43
0.94,4.93,4.43
0.941,4.93,4.43
0.942,4.93,4.43
0.943,4.93,4.43
0.944,4.93,4.42
0.945,4.93,4.42
0.946,4.93,4.44
0.947,4.94,4.42
0.948,4.93,4.43
0.949,4.93,4.41
0.95,4.93,4.43
0.951,4.94,4.45
0.952,4.93,4.43
0.953,4.93,4.43
0.954,4.93,4.43
0.955,4.93,4.43
0.956,4.85,4.14
0.957,4.71,3.96
0.958,4.57,3.8
0.959,4.45,3.66
0.96,3.34,2.5
0.961,3.33,2.48
0.962,3.31,2.46
0.963,3.29,2.43
0.964,3.25,2.4
0.965,3.22,2.38
0.966,3.2,2.36
0.967,3.18,2.35
0.968,3.17,2.34
0.969,3.18,2.34
0.97,3.19,2.35
0.971,3.21,2.36
0.972,3.23,2.37
0.973,3.26,2.38
0.974,3.28,2.39
0.975,3.3,2.4
0.976,3.31,2.4
0.977,3.31,2.4
0.978,3.3,2.38
0.979,3.28,2.37
0.98,3.26,2.34
0.981,3.22,2.32
0.982,3.2,2.29
0.983,3.18,2.28
0.984,3.17,2.27
0.985,3.17,2.27
0.986,3.18,2.28
0.987,3.2,2.3
0.988,3.23,2.31
0.989,3.26,2.33
0.99,4.89,4.27
0.991,4.92,4.32
0.992,4.91,4.33
0.993,4.91,4.37
0.994,4.92,4.38
0.995,4.91,4.39
0.996,4.92,4.39
0.997,4.92,4.4
0.998,4.93,4.41
0.999,4.93,4.41
1.0,4.93,4.41
1.001,4.93,4.42
1.002,4.93,4.42
1.003,4.93,4.42
1.004,4.93,4.42
1.005,4.93,4.42
1.006,4.93,4.42
1.007,4.93,4.42
1.008,4.93,4.42
1.009,4.93,4.42
