Time (Sec),Analog Input 0,Analog Input 1
1.01,4.92,4.42
1.011,4.93,4.43
1.012,4.93,4.42
1.013,4.92,4.42
1.014,4.93,4.42
1.015,4.92,4.42
1.016,4.92,4.42
1.017,4.92,4.41
1.018,4.93,4.42
1.019,4.92,4.42
1.02,3.45,2.72
1.021,3.4,2.68
1.022,3.36,2.64
1.023,3.31,2.6
1.024,3.29,2.57
1.025,3.27,2.55
1.026,3.27,2.55
1.027,3.27,2.54
1.028,3.28,2.54
1.029,3.3,2.54
1.03,3.32,2.55
1.031,3.34,2.55
1.032,3.35,2.55
1.033,3.36,2.54
1.034,3.35,2.52
1.035,3.33,2.5
1.036,3.31,2.48
1.037,3.28,2.45
1.038,3.24,2.42
1.039,3.21,2.39
1.04,3.19,2.38
1.041,3.19,2.37
1.042,3.18,2.36
1.043,3.19,2.37
1.044,3.21,2.37
1.045,3.23,2.38
1.046,3.25,2.4
1.047,3.28,2.41
1.048,3.3,2.42
1.049,3.31,2.42
1.05,3.29,2.32
1.051,3.31,2.34
1.052,3.33,2.35
1.053,3.33,2.35
1.054,3.34,2.35
1.055,3.32,2.33
1.056,3.3,2.31
1.057,3.26,2.28
1.058,3.24,2.26
1.059,3.21,2.24
1.06,3.23,2.73
1.061,4.54,3.73
1.062,4.84,4.13
1.063,4.89,4.24
1.064,4.9,4.32
1.065,4.92,4.35
1.066,4.92,4.37
1.067,4.93,4.39
1.068,4.93,4.39
1.069,4.93,4.41
1.07,4.94,4.41
1.071,4.93,4.41
1.072,4.93,4.41
1.073,4.93,4.41
1.074,4.93,4.42
1.075,4.93,4.41
1.076,4.93,4.42
1.077,4.93,4.42
1.078,4.93,4.42
1.079,4.93,4.42
1.08,4.49,3.72
1.081,4.37,3.59
1.082,4.24,3.47
1.083,4.13,3.38
1.084,4.03,3.29
1.085,3.95,3.21
1.086,3.88,3.15
1.087,3.82,3.09
1.088,3.77,3.04
1.089,3.72,2.98
1.09,3.67,2.95
1.091,3.63,2.89
1.092,3.57,2.84
1.093,3.52,2.79
1.094,3.46,2.73
1.095,3.42,2.69
1.096,3.36,2.66
1.097,3.34,2.62
1.098,3.31,2.6
1.099,3.3,2.58
1.1,3.29,2.56
1.101,3.31,2.57
1.102,3.33,2.57
1.103,3.33,2.57
1.104,3.36,2.57
1.105,3.36,2.57
1.106,3.37,2.56
1.107,3.37,2.55
1.108,3.35,2.53
1.109,3.33,2.5
1.11,3.35,2.39
1.111,3.34,2.39
1.112,3.33,2.37
1.113,3.3,2.34
1.114,3.28,2.32
1.115,3.25,2.3
1.116,3.21,2.28
1.117,3.21,2.27
1.118,3.2,2.27
1.119,3.2,2.27
1.12,3.21,2.28
1.121,3.23,2.29
1.122,3.27,2.31
1.123,3.29,2.33
1.124,3.31,2.34
1.125,3.33,2.35
1.126,3.34,2.35
1.127,3.34,2.36
1.128,3.33,2.34
1.129,3.31,2.32
1.13,3.29,2.3
1.131,3.26,2.28
1.132,3.23,2.26
1.133,3.22,2.54
1.134,4.42,3.64
1.135,4.83,4.11
1.136,4.89,4.26
1.137,4.92,4.31
1.138,4.91,4.35
1.139,4.93,4.38
1.14,4.93,4.44
1.141,4.94,4.44
1.142,4.93,4.44
1.143,4.94,4.44
1.144,4.93,4.44
1.145,4.94,4.44
1.146,4.94,4.44
1.147,4.94,4.44
1.148,4.93,4.44
1.149,4.94,4.34
1.15,4.81,4.09
1.151,4.67,3.92
1.152,4.53,3.76
1.153,4.41,3.63
1.154,4.27,3.49
1.155,4.15,3.4
1.156,4.05,3.3
1.157,3.96,3.22
1.158,3.87,3.16
1.159,3.82,3.09
1.16,3.76,3.04
1.161,3.72,3.0
1.162,3.68,2.95
1.163,3.64,2.91
1.164,3.6,2.87
1.165,3.56,2.82
1.166,3.51,2.77
1.167,3.45,2.72
1.168,3.41,2.68
1.169,3.36,2.64
1.17,3.27,2.37
1.171,3.24,2.34
1.172,3.21,2.32
1.173,3.2,2.31
1.174,3.19,2.3
1.175,3.19,2.3
1.176,3.2,2.3
1.177,3.21,2.32
1.178,3.24,2.34
1.179,3.27,2.36
1.18,3.3,2.37
1.181,3.33,2.39
1.182,3.34,2.4
1.183,3.35,2.4
1.184,3.35,2.39
1.185,3.34,2.37
1.186,3.31,2.37
1.187,3.29,2.33
1.188,3.26,2.31
1.189,3.23,2.29
1.19,3.22,2.28
1.191,3.2,2.27
1.192,3.21,2.27
1.193,3.21,2.28
1.194,3.23,2.29
1.195,3.26,2.3
1.196,3.28,2.32
1.197,3.31,2.34
1.198,3.33,2.36
1.199,3.34,2.36
1.2,4.93,4.43
1.201,4.93,4.44
1.202,4.94,4.43
1.203,4.93,4.43
1.204,4.94,4.43
1.205,4.93,4.43
1.206,4.94,4.43
1.207,4.93,4.44
1.208,4.93,4.43
1.209,4.93,4.43
1.21,4.93,4.43
1.211,4.94,4.43
1.212,4.93,4.43
1.213,4.93,4.42
1.214,4.94,4.44
1.215,4.93,4.43
1.216,4.94,4.45
1.217,4.93,4.43
1.218,4.93,4.44
1.219,4.95,4.44
1.22,4.93,4.43
1.221,4.93,4.44
1.222,4.93,4.43
1.223,4.86,4.16
1.224,4.72,3.97
1.225,4.58,3.8
1.226,4.44,3.67
1.227,4.31,3.54
1.228,4.19,3.43
1.229,4.08,3.33
1.23,3.21,2.39
1.231,3.2,2.38
1.232,3.2,2.37
1.233,3.21,2.38
1.234,3.23,2.38
1.235,3.24,2.39
1.236,3.27,2.41
1.237,3.29,2.42
1.238,3.31,2.43
1.239,3.33,2.43
1.24,3.33,2.43
1.241,3.33,2.42
1.242,3.31,2.4
1.243,3.29,2.38
1.244,3.26,2.35
1.245,3.23,2.33
1.246,3.21,2.31
1.247,3.2,2.3
1.248,3.19,2.3
1.249,3.2,2.3
1.25,3.21,2.31
1.251,3.25,2.34
1.252,3.27,2.35
1.253,3.3,2.37
1.254,3.33,2.39
1.255,3.34,2.39
1.256,3.35,2.4
1.257,3.36,2.39
1.258,3.35,2.39
1.259,3.33,2.36
1.26,4.93,4.42
1.261,4.93,4.42
1.262,4.93,4.42
1.263,4.93,4.42
1.264,4.93,4.42
1.265,4.93,4.42
1.266,4.93,4.43
1.267,4.93,4.42
1.268,4.93,4.43
1.269,4.93,4.43
1.27,4.93,4.43
1.271,4.94,4.43
1.272,4.93,4.43
1.273,4.93,4.43
1.274,4.94,4.44
1.275,4.93,4.43
1.276,4.93,4.44
1.277,4.94,4.43
1.278,4.93,4.44
1.279,4.94,4.44
1.28,4.93,4.43
1.281,4.93,4.43
1.282,4.93,4.42
1.283,4.93,4.45
1.284,4.94,4.42
1.285,4.92,4.43
1.286,4.93,4.43
1.287,4.93,4.44
1.288,4.94,4.44
1.289,4.93,4.44
1.29,3.26,2.52
1.291,3.29,2.53
1.292,3.3,2.53
1.293,3.32,2.53
1.294,3.34,2.54
1.295,3.35,2.54
1.296,3.36,2.52
1.297,3.36,2.53
1.298,3.35,2.51
1.299,3.33,2.49
1.3,3.31,2.47
1.301,3.28,2.44
1.302,3.24,2.4
1.303,3.21,2.38
1.304,3.2,2.37
1.305,3.18,2.37
1.306,3.2,2.37
1.307,3.21,2.37
1.308,3.22,2.38
1.309,3.26,2.39
1.31,3.28,2.41
1.311,3.3,2.42
1.312,3.32,2.42
1.313,3.32,2.42
1.314,3.33,2.42
1.315,3.31,2.4
1.316,3.29,2.38
1.317,3.27,2.35
1.318,3.23,2.33
1.319,3.21,2.31
1.32,3.3,2.31
1.321,3.28,2.53
1.322,4.4,3.61
1.323,4.82,4.11
1.324,4.89,4.25
1.325,4.91,4.31
1.326,4.92,4.35
1.327,4.93,4.38
1.328,4.93,4.39
1.329,4.93,4.4
1.33,4.93,4.4
1.331,4.93,4.41
1.332,4.93,4.41
1.333,4.93,4.42
1.334,4.93,4.42
1.335,4.93,4.42
1.336,4.94,4.44
1.337,4.93,4.42
1.338,4.93,4.42
1.339,4.93,4.43
1.34,4.93,4.43
1.341,4.93,4.43
1.342,4.93,4.43
1.343,4.93,4.43
1.344,4.94,4.44
1.345,4.93,4.42
1.346,4.94,4.45
1.347,4.94,4.43
1.348,4.93,4.43
1.349,4.94,4.44
1.35,3.65,2.94
1.351,3.62,2.91
1.352,3.59,2.87
1.353,3.57,2.84
1.354,3.54,2.8
1.355,3.5,2.76
1.356,3.46,2.71
1.357,3.41,2.67
1.358,3.36,2.63
1.359,3.32,2.6
1.36,3.29,2.56
1.361,3.27,2.54
1.362,3.26,2.53
1.363,3.26,2.51
1.364,3.28,2.53
1.365,3.29,2.52
1.366,3.31,2.54
1.367,3.33,2.53
1.368,3.34,2.54
1.369,3.36,2.54
1.37,3.36,2.52
1.371,3.35,2.51
1.372,3.33,2.49
1.373,3.31,2.47
1.374,3.27,2.44
1.375,3.24,2.41
1.376,3.21,2.39
1.377,3.21,2.38
1.378,3.19,2.36
1.379,3.19,2.37
1.38,3.21,2.27
1.381,3.2,2.27
1.382,3.2,2.27
1.383,3.21,2.28
1.384,3.23,2.29
1.385,3.25,2.3
1.386,3.28,2.32
1.387,3.3,2.34
1.388,3.32,2.35
1.389,3.34,2.36
1.39,3.34,2.36
1.391,3.34,2.35
1.392,3.33,2.34
1.393,3.3,2.31
1.394,3.28,2.29
1.395,3.24,2.27
1.396,3.22,2.3
1.397,4.13,3.41
1.398,4.78,4.05
1.399,4.89,4.22
1.4,4.9,4.3
1.401,4.93,4.35
1.402,4.92,4.36
1.403,4.93,4.39
1.404,4.93,4.39
1.405,4.93,4.4
1.406,4.93,4.41
1.407,4.93,4.41
1.408,4.93,4.41
1.409,4.94,4.43
1.41,4.93,4.44
1.411,4.94,4.25
1.412,4.77,4.04
1.413,4.64,3.87
1.414,4.5,3.72
1.415,4.36,3.59
1.416,4.24,3.47
1.417,4.12,3.36
1.418,4.01,3.27
1.419,3.92,3.19
1.42,3.84,3.12
1.421,3.78,3.06
1.422,3.72,3.01
1.423,3.68,2.97
1.424,3.65,2.93
1.425,3.62,2.9
1.426,3.59,2.87
1.427,3.56,2.82
1.428,3.51,2.79
1.429,3.49,2.74
1.43,3.43,2.7
1.431,3.39,2.65
1.432,3.34,2.61
1.433,3.31,2.58
1.434,3.28,2.55
1.435,3.27,2.54
1.436,3.26,2.53
1.437,3.27,2.53
1.438,3.29,2.53
1.439,3.3,2.53
1.44,3.2,2.31
1.441,3.23,2.33
1.442,3.25,2.34
1.443,3.29,2.37
1.444,3.31,2.38
1.445,3.33,2.39
1.446,3.35,2.4
1.447,3.35,2.39
1.448,3.34,2.39
1.449,3.33,2.37
1.45,3.3,2.34
1.451,3.27,2.32
1.452,3.24,2.3
1.453,3.22,2.28
1.454,3.2,2.27
1.455,3.2,2.27
1.456,3.21,2.28
1.457,3.22,2.28
1.458,3.24,2.3
1.459,3.27,2.31
1.46,3.29,2.33
1.461,3.32,2.35
1.462,3.34,2.36
1.463,3.34,2.36
1.464,3.35,2.36
1.465,3.33,2.35
1.466,3.31,2.33
1.467,3.28,2.3
1.468,3.25,2.28
1.469,3.45,2.97
1.47,4.93,4.44
1.471,4.94,4.44
1.472,4.93,4.44
1.473,4.94,4.43
1.474,4.93,4.43
1.475,4.94,4.45
1.476,4.94,4.44
1.477,4.93,4.44
1.478,4.94,4.44
1.479,4.93,4.44
1.48,4.94,4.44
1.481,4.93,4.44
1.482,4.93,4.44
1.483,4.93,4.44
1.484,4.94,4.44
1.485,4.9,4.21
1.486,4.75,4.01
1.487,4.61,3.84
1.488,4.47,3.7
1.489,4.34,3.57
1.49,4.21,3.45
1.491,4.1,3.35
1.492,4.0,3.26
1.493,3.91,3.18
1.494,3.83,3.12
1.495,3.77,3.06
1.496,3.72,3.02
1.497,3.68,2.97
1.498,3.65,2.94
1.499,3.61,2.9
1.5,3.27,2.41
1.501,3.29,2.42
1.502,3.31,2.43
1.503,3.31,2.43
1.504,3.31,2.42
1.505,3.31,2.41
1.506,3.29,2.39
1.507,3.25,2.35
1.508,3.23,2.34
1.509,3.2,2.31
1.51,3.18,2.3
1.511,3.17,2.3
1.512,3.18,2.3
1.513,3.19,2.3
1.514,3.21,2.32
1.515,3.24,2.34
1.516,3.27,2.36
1.517,3.29,2.38
1.518,3.32,2.39
1.519,3.34,2.4
1.52,3.34,2.39
1.521,3.34,2.39
1.522,3.32,2.37
1.523,3.3,2.35
1.524,3.27,2.33
1.525,3.24,2.3
1.526,3.22,2.29
1.527,3.2,2.27
1.528,3.19,2.27
1.529,3.2,2.27
1.53,4.93,4.43
1.531,4.93,4.43
1.532,4.93,4.43
1.533,4.93,4.43
1.534,4.94,4.44
1.535,4.93,4.44
1.536,4.94,4.44
1.537,4.93,4.43
1.538,4.94,4.44
1.539,4.93,4.42
1.54,4.94,4.45
1.541,4.94,4.44
1.542,4.93,4.43
1.543,4.94,4.44
1.544,4.93,4.44
1.545,4.93,4.43
1.546,4.93,4.44
1.547,4.94,4.44
1.548,4.93,4.44
1.549,4.94,4.44
1.55,4.93,4.44
1.551,4.94,4.45
1.552,4.93,4.44
1.553,4.94,4.44
1.554,4.93,4.44
1.555,4.93,4.44
1.556,4.93,4.44
1.557,4.93,4.44
1.558,4.93,4.33
1.559,4.81,4.09
1.56,3.35,2.54
1.561,3.35,2.53
1.562,3.33,2.51
1.563,3.3,2.48
1.564,3.27,2.45
1.565,3.23,2.42
1.566,3.21,2.4
1.567,3.19,2.38
1.568,3.18,2.38
1.569,3.18,2.37
1.57,3.19,2.38
1.571,3.21,2.38
1.572,3.23,2.4
1.573,3.26,2.41
1.574,3.28,2.42
1.575,3.3,2.43
1.576,3.31,2.43
1.577,3.31,2.42
1.578,3.3,2.42
1.579,3.29,2.4
1.58,3.27,2.38
1.581,3.24,2.35
1.582,3.21,2.33
1.583,3.19,2.31
1.584,3.18,2.31
1.585,3.18,2.3
1.586,3.18,2.3
1.587,3.2,2.32
1.588,3.23,2.34
1.589,3.26,2.36
1.59,4.91,4.31
1.591,4.93,4.35
1.592,4.92,4.37
1.593,4.93,4.39
1.594,4.93,4.4
1.595,4.93,4.41
1.596,4.93,4.41
1.597,4.93,4.42
1.598,4.93,4.42
1.599,4.94,4.42
1.6,4.93,4.42
1.601,4.94,4.42
1.602,4.93,4.44
1.603,4.95,4.43
1.604,4.93,4.42
1.605,4.93,4.42
1.606,4.93,4.44
1.607,4.94,4.43
1.608,4.93,4.44
1.609,4.94,4.43
1.61,4.93,4.43
1.611,4.94,4.44
1.612,4.93,4.43
1.613,4.93,4.44
1.614,4.94,4.44
1.615,4.93,4.43
1.616,4.95,4.44
1.617,4.93,4.43
1.618,4.93,4.44
1.619,4.93,4.43
1.62,3.45,2.72
1.621,3.41,2.68
1.622,3.35,2.64
1.623,3.31,2.6
1.624,3.29,2.57
1.625,3.27,2.56
1.626,3.26,2.54
1.627,3.27,2.54
1.628,3.29,2.54
1.629,3.3,2.54
1.63,3.32,2.55
1.631,3.34,2.55
1.632,3.35,2.55
1.633,3.35,2.55
1.634,3.36,2.53
1.635,3.34,2.51
1.636,3.31,2.49
1.637,3.28,2.46
1.638,3.25,2.43
1.639,3.22,2.41
1.64,3.2,2.39
1.641,3.19,2.38
1.642,3.19,2.37
1.643,3.19,2.37
1.644,3.21,2.38
1.645,3.22,2.39
1.646,3.25,2.4
1.647,3.27,2.41
1.648,3.3,2.42
1.649,3.31,2.43
1.65,3.28,2.33
1.651,3.31,2.35
1.652,3.32,2.36
1.653,3.33,2.36
1.654,3.33,2.36
1.655,3.32,2.35
1.656,3.3,2.33
1.657,3.28,2.31
1.658,3.24,2.28
1.659,3.22,2.26
1.66,3.31,2.87
1.661,4.6,3.81
1.662,4.86,4.17
1.663,4.9,4.28
1.664,4.93,4.34
1.665,4.92,4.35
1.666,4.94,4.39
1.667,4.94,4.4
1.668,4.94,4.4
1.669,4.93,4.4
1.67,4.94,4.42
1.671,4.93,4.42
1.672,4.93,4.42
1.673,4.93,4.42
1.674,4.93,4.43
1.675,4.93,4.43
1.676,4.93,4.44
1.677,4.93,4.43
1.678,4.93,4.43
1.679,4.94,4.43
1.68,4.33,3.56
1.681,4.21,3.45
1.682,4.09,3.35
1.683,3.99,3.26
1.684,3.91,3.19
1.685,3.83,3.13
1.686,3.78,3.07
1.687,3.73,3.03
1.688,3.68,2.98
1.689,3.65,2.93
1.69,3.61,2.89
1.691,3.57,2.85
1.692,3.53,2.8
1.693,3.48,2.76
1.694,3.43,2.71
1.695,3.37,2.66
1.696,3.33,2.64
1.697,3.3,2.6
1.698,3.27,2.58
1.699,3.27,2.57
1.7,3.26,2.54
1.701,3.27,2.56
1.702,3.29,2.55
1.703,3.31,2.55
1.704,3.32,2.56
1.705,3.34,2.56
1.706,3.35,2.56
1.707,3.35,2.55
1.708,3.34,2.53
1.709,3.32,2.51
1.71,3.33,2.4
1.711,3.33,2.39
1.712,3.32,2.38
1.713,3.29,2.36
1.714,3.26,2.34
1.715,3.23,2.31
1.716,3.21,2.29
1.717,3.19,2.28
1.718,3.18,2.27
1.719,3.18,2.28
1.72,3.19,2.28
1.721,3.21,2.29
1.722,3.23,2.31
1.723,3.26,2.33
1.724,3.28,2.35
1.725,3.31,2.36
1.726,3.32,2.37
1.727,3.33,2.36
1.728,3.31,2.36
1.729,3.3,2.34
1.73,3.27,2.31
1.731,3.26,2.3
1.732,3.22,2.27
1.733,3.21,2.54
1.734,4.43,3.64
1.735,4.83,4.12
1.736,4.9,4.26
1.737,4.91,4.32
1.738,4.93,4.36
1.739,4.93,4.38
1.74,4.94,4.44
1.741,4.94,4.45
1.742,4.93,4.44
1.743,4.94,4.44
1.744,4.93,4.44
1.745,4.94,4.44
1.746,4.93,4.45
1.747,4.94,4.45
1.748,4.93,4.45
1.749,4.94,4.33
1.75,4.81,4.08
1.751,4.67,3.91
1.752,4.52,3.75
1.753,4.39,3.62
1.754,4.26,3.5
1.755,4.14,3.4
1.756,4.04,3.31
1.757,3.95,3.22
1.758,3.86,3.16
1.759,3.8,3.1
1.76,3.75,3.04
1.761,3.7,3.0
1.762,3.66,2.95
1.763,3.63,2.92
1.764,3.58,2.87
1.765,3.54,2.83
1.766,3.49,2.78
1.767,3.44,2.73
1.768,3.39,2.68
1.769,3.34,2.64
1.77,3.24,2.37
1.771,3.21,2.35
1.772,3.18,2.32
1.773,3.16,2.31
1.774,3.15,2.3
1.775,3.14,2.3
1.776,3.16,2.3
1.777,3.17,2.31
1.778,3.2,2.34
1.779,3.22,2.35
1.78,3.25,2.37
1.781,3.28,2.38
1.782,3.3,2.39
1.783,3.31,2.4
1.784,3.31,2.39
1.785,3.3,2.38
1.786,3.28,2.37
1.787,3.26,2.34
1.788,3.22,2.31
1.789,3.2,2.29
1.79,3.17,2.28
1.791,3.16,2.27
1.792,3.16,2.27
1.793,3.17,2.28
1.794,3.18,2.28
1.795,3.2,2.3
1.796,3.24,2.31
1.797,3.26,2.34
1.798,3.28,2.35
1.799,3.3,2.36
1.8,4.94,4.45
1.801,4.94,4.45
1.802,4.94,4.44
1.803,4.94,4.45
1.804,4.94,4.45
1.805,4.94,4.45
1.806,4.94,4.45
1.807,4.94,4.44
1.808,4.94,4.45
1.809,4.94,4.44
1.81,4.94,4.45
1.811,4.94,4.44
1.812,4.94,4.45
1.813,4.93,4.45
1.814,4.94,4.45
1.815,4.93,4.44
1.816,4.94,4.46
1.817,4.94,4.45
1.818,4.93,4.45
1.819,4.94,4.45
1.82,4.93,4.45
1.821,4.94,4.45
1.822,4.94,4.45
1.823,4.94,4.28
1.824,4.78,4.05
1.825,4.65,3.9
1.826,4.51,3.74
1.827,4.37,3.61
1.828,4.25,3.49
1.829,4.13,3.39
1.83,3.16,2.39
1.831,3.15,2.38
1.832,3.14,2.38
1.833,3.14,2.38
1.834,3.16,2.38
1.835,3.18,2.39
1.836,3.2,2.4
1.837,3.22,2.41
1.838,3.25,2.42
1.839,3.27,2.43
1.84,3.27,2.43
1.841,3.27,2.42
1.842,3.26,2.41
1.843,3.23,2.38
1.844,3.2,2.35
1.845,3.17,2.33
1.846,3.15,2.31
1.847,3.14,2.3
1.848,3.13,2.3
1.849,3.14,2.29
1.85,3.14,2.31
1.851,3.17,2.32
1.852,3.19,2.34
1.853,3.22,2.36
1.854,3.25,2.37
1.855,3.27,2.38
1.856,3.29,2.39
1.857,3.29,2.39
1.858,3.29,2.38
1.859,3.27,2.36
1.86,4.93,4.42
1.861,4.93,4.44
1.862,4.94,4.43
1.863,4.93,4.44
1.864,4.94,4.44
1.865,4.93,4.44
1.866,4.94,4.45
1.867,4.94,4.44
1.868,4.94,4.44
1.869,4.93,4.44
1.87,4.94,4.45
1.871,4.94,4.44
1.872,4.94,4.45
1.873,4.94,4.45
1.874,4.94,4.45
1.875,4.94,4.45
1.876,4.94,4.45
1.877,4.94,4.44
1.878,4.94,4.46
1.879,4.94,4.45
1.88,4.93,4.45
1.881,4.94,4.45
1.882,4.94,4.45
1.883,4.94,4.45
1.884,4.94,4.45
1.885,4.94,4.45
1.886,4.94,4.45
1.887,4.93,4.45
1.888,4.94,4.45
1.889,4.93,4.45
1.89,3.22,2.54
1.891,3.24,2.54
1.892,3.25,2.54
1.893,3.27,2.55
1.894,3.28,2.55
1.895,3.3,2.55
1.896,3.31,2.55
1.897,3.31,2.54
1.898,3.3,2.52
1.899,3.29,2.5
1.9,3.25,2.47
1.901,3.22,2.44
1.902,3.19,2.41
1.903,3.16,2.39
1.904,3.15,2.38
1.905,3.14,2.37
1.906,3.14,2.37
1.907,3.15,2.37
1.908,3.17,2.37
1.909,3.19,2.38
1.91,3.21,2.4
1.911,3.23,2.41
1.912,3.25,2.42
1.913,3.26,2.42
1.914,3.27,2.42
1.915,3.26,2.4
1.916,3.24,2.38
1.917,3.21,2.36
1.918,3.18,2.33
1.919,3.16,2.31
1.92,3.24,2.31
1.921,3.21,2.28
1.922,3.18,2.26
1.923,3.19,2.6
1.924,4.47,3.69
1.925,4.85,4.15
1.926,4.9,4.27
1.927,4.92,4.33
1.928,4.92,4.37
1.929,4.93,4.39
1.93,4.93,4.4
1.931,4.93,4.42
1.932,4.93,4.42
1.933,4.93,4.43
1.934,4.93,4.43
1.935,4.94,4.43
1.936,4.93,4.45
1.937,4.94,4.44
1.938,4.93,4.44
1.939,4.94,4.44
1.94,4.94,4.44
1.941,4.94,4.44
1.942,4.94,4.44
1.943,4.93,4.45
1.944,4.94,4.45
1.945,4.94,4.45
1.946,4.94,4.45
1.947,4.94,4.45
1.948,4.94,4.45
1.949,4.94,4.45
1.95,3.73,3.04
1.951,3.68,3.0
1.952,3.65,2.95
1.953,3.6,2.91
1.954,3.57,2.87
1.955,3.52,2.82
1.956,3.48,2.78
1.957,3.43,2.73
1.958,3.37,2.68
1.959,3.33,2.64
1.96,3.28,2.6
1.961,3.26,2.58
1.962,3.24,2.56
1.963,3.23,2.55
1.964,3.24,2.54
1.965,3.25,2.54
1.966,3.27,2.55
1.967,3.29,2.55
1.968,3.3,2.55
1.969,3.31,2.54
1.97,3.31,2.54
1.971,3.31,2.52
1.972,3.29,2.5
1.973,3.27,2.48
1.974,3.24,2.45
1.975,3.21,2.42
1.976,3.18,2.4
1.977,3.15,2.38
1.978,3.15,2.37
1.979,3.14,2.36
1.98,3.16,2.27
1.981,3.15,2.26
1.982,3.15,2.26
1.983,3.16,2.26
1.984,3.17,2.27
1.985,3.2,2.29
1.986,3.22,2.3
1.987,3.24,2.34
1.988,3.27,2.34
1.989,3.29,2.35
1.99,3.29,2.35
1.991,3.29,2.34
1.992,3.28,2.33
1.993,3.26,2.31
1.994,3.23,2.28
1.995,3.2,2.26
1.996,3.18,2.26
1.997,3.68,3.16
1.998,4.71,3.95
1.999,4.88,4.21
2.0,4.91,4.3
2.001,4.92,4.35
2.002,4.93,4.38
2.003,4.93,4.4
2.004,4.93,4.41
2.005,4.93,4.41
2.006,4.93,4.42
2.007,4.94,4.43
2.008,4.93,4.43
2.009,4.94,4.43
2.01,4.93,4.45
2.011,4.94,4.44
2.012,4.93,4.44
2.013,4.93,4.35
2.014,4.82,4.1
2.015,4.67,3.92
2.016,4.53,3.77
2.017,4.4,3.63
2.018,4.25,3.5
2.019,4.16,3.41
2.02,4.04,3.32
2.021,3.95,3.23
2.022,3.87,3.17
